COU,Pays,IND,Indicateur,SEX,Sexe,AGE,Age Group,TIME,Temps,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
NOR,Norvège,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,22.2,,
NOR,Norvège,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,21.8,,
POL,Pologne,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,17.5,,
POL,Pologne,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,17.2,,
POL,Pologne,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,24.4,,
POL,Pologne,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,23.6,,
PRT,Portugal,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,16.3,,
PRT,Portugal,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,16.6,,
PRT,Portugal,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,21.3,,
PRT,Portugal,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,20.6,,
SVK,République slovaque,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,17.7,,
SVK,République slovaque,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,17.3,,
SVK,République slovaque,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,25.2,,
SVK,République slovaque,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,23.7,,
ESP,Espagne,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,20.6,,
ESP,Espagne,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,20.8,,
ESP,Espagne,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,24.3,,
ESP,Espagne,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,24.2,,
SWE,Suède,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,18.1,,
SWE,Suède,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,17.7,,
SWE,Suède,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,22.6,,
SWE,Suède,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,21.8,,
CHE,Suisse,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,18.9,,
CHE,Suisse,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,18.3,,
CHE,Suisse,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,23.4,,
CHE,Suisse,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,22.8,,
TUR,Turquie,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,15.8,,
TUR,Turquie,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,16.1,,
TUR,Turquie,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,18.2,,
TUR,Turquie,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,17.9,,
GBR,Royaume-Uni,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,18.9,,
GBR,Royaume-Uni,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,19.4,,
GBR,Royaume-Uni,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,23.4,,
GBR,Royaume-Uni,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,23.0,,
USA,États-Unis,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,17.5,,
USA,États-Unis,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,18.0,,
USA,États-Unis,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,20.2,,
USA,États-Unis,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,20.4,,
CHL,Chili,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,14.3,,
CHL,Chili,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,13.9,,
CHL,Chili,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,18.4,,
CHL,Chili,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,17.6,,
EST,Estonie,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,14.2,,
EST,Estonie,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,15.7,,
EST,Estonie,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,20.7,,
EST,Estonie,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,21.6,,
ISR,Israël,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,17.5,,
ISR,Israël,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,21.1,,
SVN,Slovénie,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,19.6,,
SVN,Slovénie,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,18.7,,
SVN,Slovénie,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,26.7,,
SVN,Slovénie,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,24.7,,
OAVG,Moyenne OCDE,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,18.2,,
OAVG,Moyenne OCDE,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,18.1,,
OAVG,Moyenne OCDE,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,22.8,,
OAVG,Moyenne OCDE,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,22.5,,
ISR,Israël,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,21.1,,
ISR,Israël,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,16.9,,
FIN,Finlande,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2014,2014,YR,Années,0,Unités,,,23.8,,
DNK,Danemark,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2014,2014,YR,Années,0,Unités,,,19.2,,
OAVG,Moyenne OCDE,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2014,2014,YR,Années,0,Unités,,,22.5,,
TUR,Turquie,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2014,2014,YR,Années,0,Unités,,,17.7,,
FRA,France,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2014,2014,YR,Années,0,Unités,,,23.5,,
ITA,Italie,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2014,2014,YR,Années,0,Unités,,,21.6,,
GBR,Royaume-Uni,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2014,2014,YR,Années,0,Unités,,,23.2,,
CHL,Chili,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2014,2014,YR,Années,0,Unités,,,13.9,,
NOR,Norvège,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2014,2014,YR,Années,0,Unités,,,18.3,,
RUS,Russie,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2014,2014,YR,Années,0,Unités,,,13.2,,
SVN,Slovénie,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2014,2014,YR,Années,0,Unités,,,19.2,,
NZL,Nouvelle-Zélande,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2014,2014,YR,Années,0,Unités,,,19.7,,
POL,Pologne,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2014,2014,YR,Années,0,Unités,,,24.2,,
NLD,Pays-Bas,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2014,2014,YR,Années,0,Unités,,,23.8,,
AUT,Autriche,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2014,2014,YR,Années,0,Unités,,,25.5,,
USA,États-Unis,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2014,2014,YR,Années,0,Unités,,,20.8,,
POL,Pologne,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2014,2014,YR,Années,0,Unités,,,17.3,,
MEX,Mexique,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2014,2014,YR,Années,0,Unités,,,18.2,,
IRL,Irlande,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2014,2014,YR,Années,0,Unités,,,22.9,,
